Player Name,Team,Price,pid,role,isoversea,isCap,isbatsman,isbowler,iswicketkeeper,base,Chennai Super Kings purse,Delhi Capitals purse,Gujrat Titans purse,Kolkata Knight Riders purse,Lucknow Super Giants purse,Mumbai Indians purse,Punjab Kings purse,Rajastan Royals purse,Royal Challengers Banglore purse,Sunrisers Hyderabad purse,Chennai Super Kings ba,Delhi Capitals ba,Gujrat Titans ba,Kolkata Knight Riders ba,Lucknow Super Giants ba,Mumbai Indians ba,Punjab Kings ba,Rajastan Royals ba,Royal Challengers Banglore ba,Sunrisers Hyderabad ba,Chennai Super Kings bo,Delhi Capitals bo,Gujrat Titans bo,Kolkata Knight Riders bo,Lucknow Super Giants bo,Mumbai Indians bo,Punjab Kings bo,Rajastan Royals bo,Royal Challengers Banglore bo,Sunrisers Hyderabad bo,Chennai Super Kings ar,Delhi Capitals ar,Gujrat Titans ar,Kolkata Knight Riders ar,Lucknow Super Giants ar,Mumbai Indians ar,Punjab Kings ar,Rajastan Royals ar,Royal Challengers Banglore ar,Sunrisers Hyderabad ar,Chennai Super Kings wk,Delhi Capitals wk,Gujrat Titans wk,Kolkata Knight Riders wk,Lucknow Super Giants wk,Mumbai Indians wk,Punjab Kings wk,Rajastan Royals wk,Royal Challengers Banglore wk,Sunrisers Hyderabad wk,Chennai Super Kings os,Delhi Capitals os,Gujrat Titans os,Kolkata Knight Riders os,Lucknow Super Giants os,Mumbai Indians os,Punjab Kings os,Rajastan Royals os,Royal Challengers Banglore os,Sunrisers Hyderabad os,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,fair
Shikhar Dhawan,Punjab Kings,8.25,110,ba,0,1,1,0,0,2.0,48.0,47.5,52.0,48.0,59.8,48.0,72.0,62.0,57.0,68.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,31.08695652173913,92,134.33536871770784,34.04761904761905,0.0,0,0.0,0.0,0.0,857.0562787427626,138.9068031496063,0.0,0.0,7.888499999999999
Ravichandran Ashwin,Rajasthan Royals,5.0,191,ar,0,1,1,1,0,2.0,48.0,47.5,52.0,48.0,59.8,48.0,63.75,62.0,57.0,68.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,11.696969696969697,33,128.66666666666666,14.296296296296296,0.9824561403508771,57,7.418530351437699,27.642857142857142,22.357142857142858,79.53789655172415,149.6458195488722,13.268602336325735,10.60042086931282,5.2805
Pat Cummins,Kolkata Knight Riders,7.25,241,ar,1,1,1,1,0,2.0,48.0,47.5,52.0,48.0,59.8,48.0,63.75,57.0,57.0,68.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,11.733333333333333,15,135.3846153846154,25.142857142857142,1.037037037037037,27,7.505154639175258,26.0,20.785714285714285,0.0,126.58022222222223,13.330071227466789,13.852490042654162,5.7844999999999995
Kagiso Rabada,Punjab Kings,9.25,126,bo,1,1,0,1,0,2.0,48.0,47.5,52.0,40.75,59.8,48.0,63.75,57.0,57.0,68.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,5.884615384615385,26,110.86956521739131,8.5,1.5,62,7.965738758029978,20.0,15.064516129032258,0.0,81.43511111111113,14.657912394653495,9.794790844514601,7.9835
Trent Boult,Rajasthan Royals,8.0,101,bo,1,1,0,1,0,2.0,48.0,47.5,52.0,40.75,59.8,48.0,54.5,57.0,57.0,68.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1428571428571428,7,100.0,2.6666666666666665,1.3653846153846154,52,8.61986301369863,23.633802816901408,16.450704225352112,0.0,47.41433333333334,13.966355436524342,13.347850295541507,7.965
Shreyas Iyer,Kolkata Knight Riders,12.25,142,ba,0,1,1,0,0,2.0,48.0,47.5,52.0,40.75,59.8,48.0,54.5,49.0,57.0,68.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,27.477272727272727,88,126.92913385826772,33.583333333333336,0.3333333333333333,3,10.536585365853659,72.0,41.0,307.3141044776119,241.31637383177573,0.0,0.0,9.500000000000004
Mohammed Shami,Gujarat Titans,6.25,160,bo,0,1,0,1,0,2.0,48.0,47.5,52.0,28.5,59.8,48.0,54.5,49.0,57.0,68.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.6666666666666667,6,90.9090909090909,3.3333333333333335,1.2432432432432432,37,8.840989399293287,27.195652173913043,18.456521739130434,0.0,25.749000000000002,16.7311072056239,10.81983915927077,7.975
Faf du Plessis,Royal Challengers Bangalore,7.0,19,ba,1,1,1,0,0,2.0,48.0,47.5,45.75,28.5,59.8,48.0,54.5,49.0,57.0,68.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,31.939393939393938,66,138.41103086014445,36.98245614035088,0.0,0,0.0,0.0,0.0,572.7073072188742,218.14546099290783,0.0,0.0,6.2825
Quinton de Kock,Lucknow Super Giants,6.75,106,wk,1,1,1,0,1,2.0,48.0,47.5,45.75,28.5,59.8,48.0,54.5,49.0,50.0,68.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,31.20731707317073,82,143.84485666104553,33.23376623376623,0.0,0,0.0,0.0,0.0,988.6475899315737,126.79986956521739,0.0,0.0,6.172999999999998
David Warner,Delhi Capitals,6.25,72,ba,1,1,1,0,0,2.0,48.0,47.5,45.75,28.5,53.05,48.0,54.5,49.0,50.0,68.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,33.871428571428574,70,134.48667044809983,41.59649122807018,0.0,1,12.0,0.0,0.0,647.9453516666666,186.13440506329115,0.0,0.0,6.291999999999998
