Player Name,Team,Price,pid,isbatsman,isbowler,iswicketkeeper,isoversea,isCap,role,base,Chennai Super Kings purse,Delhi Capitals purse,Gujrat Titans purse,Kolkata Knight Riders purse,Lucknow Super Giants purse,Mumbai Indians purse,Punjab Kings purse,Rajastan Royals purse,Royal Challengers Banglore purse,Sunrisers Hyderabad purse,Chennai Super Kings ba,Delhi Capitals ba,Gujrat Titans ba,Kolkata Knight Riders ba,Lucknow Super Giants ba,Mumbai Indians ba,Punjab Kings ba,Rajastan Royals ba,Royal Challengers Banglore ba,Sunrisers Hyderabad ba,Chennai Super Kings bo,Delhi Capitals bo,Gujrat Titans bo,Kolkata Knight Riders bo,Lucknow Super Giants bo,Mumbai Indians bo,Punjab Kings bo,Rajastan Royals bo,Royal Challengers Banglore bo,Sunrisers Hyderabad bo,Chennai Super Kings ar,Delhi Capitals ar,Gujrat Titans ar,Kolkata Knight Riders ar,Lucknow Super Giants ar,Mumbai Indians ar,Punjab Kings ar,Rajastan Royals ar,Royal Challengers Banglore ar,Sunrisers Hyderabad ar,Chennai Super Kings wk,Delhi Capitals wk,Gujrat Titans wk,Kolkata Knight Riders wk,Lucknow Super Giants wk,Mumbai Indians wk,Punjab Kings wk,Rajastan Royals wk,Royal Challengers Banglore wk,Sunrisers Hyderabad wk,Chennai Super Kings os,Delhi Capitals os,Gujrat Titans os,Kolkata Knight Riders os,Lucknow Super Giants os,Mumbai Indians os,Punjab Kings os,Rajastan Royals os,Royal Challengers Banglore os,Sunrisers Hyderabad os,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,fair
Kane Williamson,Gujarat Titans,2.0,78,1,0,0,1,1,ba,2.0,20.45,19.45,19.25,7.05,23.35,20.55,32.2,13.2,8.75,42.25,4.0,6.0,4.0,3.0,4.0,6.0,4.0,4.0,5.0,3.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,31.314285714285713,70,136.14906832298138,39.85454545454545,0.0,2,13.333333333333334,0.0,0.0,251.36033333333336,324.2613050847458,0.0,0.0,6.982499999999998
Harry Brook,Sunrisers Hyderabad,13.25,1211,1,0,0,1,1,ba,1.5,20.45,19.45,17.25,7.05,23.35,20.55,32.2,13.2,8.75,42.25,4.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,5.0,3.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,20.73913043478261,23,142.81437125748505,25.105263157894736,0.5,2,13.0,26.0,12.0,122.27144600938968,116.13334426229508,0.0,0.0,4.3904999999999985
Mayank Agarwal,Sunrisers Hyderabad,8.25,167,1,0,0,0,1,ba,1.0,20.45,19.45,17.25,7.05,23.35,20.55,32.2,13.2,8.75,29.0,4.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,5.0,4.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,24.618181818181817,55,141.04166666666666,27.08,0.0,0,0.0,0.0,0.0,256.56916666666666,118.52466666666668,0.0,0.0,3.1040833333333335
Ajinkya Rahane,Chennai Super Kings,0.5,187,1,0,0,0,1,ba,0.5,20.45,19.45,17.25,7.05,23.35,20.55,32.2,13.2,8.75,20.75,4.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,5.0,5.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,23.075,40,123.06666666666666,24.289473684210527,0.0,0,0.0,0.0,0.0,345.3421860129776,73.26,0.0,0.0,0.9484999999999999
Joe Root,Rajasthan Royals,1.0,382,1,0,0,1,1,ba,1.0,19.95,19.45,17.25,7.05,23.35,20.55,32.2,13.2,8.75,20.75,5.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,5.0,5.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,28.3,20,131.93473193473193,35.375,1.1666666666666667,6,6.611111111111111,17.0,15.428571428571429,161.8745789473684,78.59200000000001,11.020408163265305,9.0,2.8031666666666673
Rilee Rossouw,Delhi Capitals,4.6,866,1,0,0,1,1,ba,2.0,19.95,19.45,17.25,7.05,23.35,20.55,32.2,12.2,8.75,20.75,5.0,6.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,25.34020618556701,97,142.1631000578369,30.725,0.25,4,5.7272727272727275,21.0,22.0,525.8330263565891,247.48688127853885,0.0,19.384615384615387,6.074499999999998
Shakib al Hasan,Kolkata Knight Riders,1.5,94,1,1,0,1,1,ar,1.5,19.95,14.85,17.25,7.05,23.35,20.55,32.2,12.2,8.75,20.75,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,7.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,18.81159420289855,69,123.26685660018994,21.633333333333333,1.1866666666666668,75,7.202988792029887,21.662921348314608,18.04494382022472,225.39346939921393,195.46233333333333,11.662202443427516,13.322070242697944,4.614571428571423
Sam Curran,Punjab Kings,18.5,184,1,1,0,1,1,ar,2.0,19.95,14.85,17.25,5.55,23.35,20.55,32.2,12.2,8.75,20.75,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,5.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,7.0,6.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,18.86046511627907,43,152.15759849906192,27.96551724137931,0.9183673469387755,49,8.815047021943574,31.244444444444444,21.266666666666666,169.24869607843138,216.53772392638038,17.328691987953874,12.8877069443404,6.122999999999999
Odean Smith,Gujarat Titans,0.5,702,1,1,0,1,1,ar,0.5,19.95,14.85,17.25,5.55,23.35,20.55,13.700000000000003,12.2,8.75,20.75,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,7.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,5.0,3.5,2,87.5,7.0,0.6666666666666666,12,9.666666666666668,39.875,24.75,0.0,32.0495,33.88235294117647,16.559473780376393,3.7024999999999983
Sikandar Raza,Punjab Kings,0.5,343,1,1,0,1,1,ar,0.5,19.95,14.85,16.75,5.55,23.35,20.55,13.700000000000003,12.2,8.75,20.75,5.0,7.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,5.0,8.0,9.0,8.0,6.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,7.0,7.0,6.0,4.0,5.0,6.0,5.0,6.0,5.0,16.897435897435898,39,125.04743833017078,21.258064516129032,0.5588235294117647,34,7.897435897435898,32.421052631578945,24.63157894736842,38.400999999999996,181.639,15.603956959389102,7.96652719665272,1.8290000000000006
